"id","business_id","rating"
95,"T93h3F_Mq8bdEWBEujsEcQ",3.6667
96,"58P3oSd8P2QNzHrQmRqQZw",3.6579
97,"LFOfaMvC6g7huKW5e35nsQ",3.6538
98,"VsrvWdZL2993olnW3z8R3A",3.6476
99,"fE0zuDxZrJlQ7H91eY6UYA",3.6471
100,"XmDiFI8SuougNUi02ZCdwA",3.6471
101,"2s5tyNvj6-eEks5cNFZQMg",3.641
102,"obkBJENTOXC3YpS_VWiPyw",3.64
103,"ZlvVCqFKTMK4rBkTQzVBpA",3.6296
104,"tbRu-3NR5za1SEZkszcp5Q",3.625
105,"Evi6u84U3F6VhgriCDhQUg",3.6207
106,"D0tHnskAgaRjCBdoXVev_g",3.619
107,"YSOaPUm5EORusVSPB6_Zag",3.619
108,"A7Soqlerr3L8mNq3YuIqAA",3.6
109,"8SvCSiGwtaGL2Z78tRSSlQ",3.5789
110,"-jBymA8tI-WURtSBcuUdXQ",3.5789
111,"FWpu1Ihe0oM1b9W1rFYjvA",3.5769
112,"dmXfK7G0h8zknsR2dfr1bw",3.5758
113,"l9Xqi_FUukoExs7nBa422w",3.55
114,"mM4JGpza3KkegHYUN7T79w",3.5484
115,"EKVrH21lOIRrXdLf-Dt5RQ",3.5395
116,"jN2NAKO5Rn5IT8udZ0imdg",3.5385
117,"vA9dAPd9fQt_3HqZylKfVA",3.5323
118,"_6rzEUOYbo7lgtkSKkKS9g",3.5319
119,"CQDxI8giIc6Kg9hQFLC6Uw",3.5128
120,"v11wtoKy5sKLAdi8355MKA",3.5
121,"JHUcIssf3crggsVxfQ8q8w",3.48
122,"JbJDlfcnYiyZRXeHQcAVjg",3.4651
123,"fJ5raoVcN-nD8vFswMFXzQ",3.4545
124,"PNHXpLc799mkFipy5WlN6A",3.4545
125,"azLb_kP6VHKSF0dMTfc3rA",3.4545
126,"m3EKlucZuwnOazLrRfnWaQ",3.4384
127,"jvvh4Q00Hq2XyIcfmAAT2A",3.4355
128,"5qElnvC0danGy0io0-NRKw",3.4255
129,"ykKSshfa9ANCZCuvM2LaWg",3.4124
130,"jCldB0wUJU9A_ti45vZ0bg",3.4091
131,"zUGy_9UtKDfjotmWpCu_Sg",3.3902
132,"iKXnctUJOVxenM42ERcekg",3.375
133,"K2_Hmmo5crTYWiT_1sWnfQ",3.3529
134,"lRew0HDz5BO-4fwWsMJyMg",3.3182
135,"uZdGSJdWbQpLDsuV9mP79g",3.3158
136,"ahKN6wh6z2vZsd8C7AyG5A",3.3068
137,"hP3hxJBx1GdCfF4RVhqbAg",3.2727
138,"JRFm4zOkJW2L0m4TsXBJ_w",3.2667
139,"tONuJUMGL394lS3MM0UmzQ",3.25
140,"NK-lGc4ZpuuduTAwK5Y24g",3.2368
141,"pAu8UuWTLTLai61TW8-tZw",3.2143
142,"KECPmpLZxwroxLeUy9TDoA",3.2121
143,"EuNV8_SReV_3KeET2Ums6A",3.2093
144,"po5FyERB4lUZNnBIwnhFlg",3.2
145,"yZSxQT84u6CL_lmfHKMMNQ",3.1818
146,"CMI3SF1-YwAEfUXYkKS53Q",3.1739
147,"9UrMG4cn2nfIQsJlH8e2PQ",3.1739
148,"qVN-P0aov4z5oknS12Cq1g",3.1625
149,"X1jTnU6c9eloN2Bxs78uTg",3.1379
150,"RIP8nL2Gbiu0zb-nCgZnpw",3.1333
151,"dWVc-Pes8olLaUIM1NC14w",3.1333
152,"p9amH4v0zP1BQgJhYjeUMg",3.1111
153,"BtX9mA5dYDzULGVPC4-I-A",3.1071
154,"ixTr1qXUFGTzyaZUuCDDvg",3.0952
155,"0sNQHGJCb6ckMW3P_J3oXA",3.0928
156,"kcBHEBHnTx9ySJwOdaSgPA",3.05
157,"kIco4kv-FHT6QqdkDQ2cow",3.0455
158,"L19_1cG2ALVjdBQ456h26A",2.9524
159,"ZDXZGMpA4IhIqmMIMdeHlA",2.9268
160,"lciZhyp_xwKNBOVyzxqhbg",2.8571
161,"XA-mMT47rFZNEllPBCYWQQ",2.8511
162,"M_GnuvRXvWBl3YNxH-GYFg",2.8421
163,"wn7GiuOQ_0VrPXNc1wVTDA",2.8261
164,"zxjMiqlfUuIQRltSuj9FpQ",2.8261
165,"yyuy1kimJHK2RsizjvgUNQ",2.7143
166,"KXvkoGg5Od9Iwk4LMBFJ4w",2.7083
167,"CNxkXXv7NVkoLWjU7t4gwA",2.6863
168,"2xczXFsc4GeilxL8B8R3Vg",2.6207
169,"0BXtWaDWN6Lh7T8mbbZniw",2.5238
170,"Nh9BjVPHdrZMn2naUxO6hg",2.4146
171,"ikcyah81MTF4ZzOivmPitw",1.65
172,"qlgAl9biUkK1wvmJ4ggDFg",1.5714
